"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Aké Arnaud Loba","NSH","2021","F","$1,077,000","$1,318,480","2021-09-30"
"","Eduard Atuesta","LAFC","2021","M","$550,000","$1,278,000","2021-09-30"
"","Younes Namli","COL","2021","M","$850,000","$1,271,000","2021-09-30"
"","Maximiliano Urruti","HOU","2021","F","$1,136,130","$1,270,150","2021-09-30"
"","Jordan Morris","SEA","2021","F","$1,150,000","$1,270,100","2021-09-30"
"","Cristian Espinoza","SJE","2021","F","$1,150,000","$1,265,000","2021-09-30"
"","Everton Luiz","RSL","2021","M","$1,160,000","$1,260,000","2021-09-30"
"","Aljaz Struna","MTL","2021","D","$1,100,000","$1,210,000","2021-09-30"
"","Yuya Kubo","CIN","2021","M","$1,091,000","$1,206,750","2021-09-30"
"","Tim Parker","HOU","2021","D","$1,161,800","$1,199,300","2021-09-30"
"","Talles Magno","NYC","2021","F","$950,000","$1,198,000","2021-09-30"
"","Jesús Medina","NYC","2021","M","$1,050,000","$1,170,830","2021-09-30"
"","Jonathan Mensah","CLB","2021","D","$1,000,000","$1,140,670","2021-09-30"
"","Patryk Klimala","NYRB","2021","F","$1,000,000","$1,135,000","2021-09-30"
"","Allan Cruz","CIN","2021","M","$1,020,000","$1,134,000","2021-09-30"
"","Teenage Hadebe","HOU","2021","D","$960,000","$1,125,180","2021-09-30"
"","Andreu Fontàs","SKC","2021","D","$1,125,000","$1,125,000","2021-09-30"
"","Kellyn Acosta","COL","2021","M","$1,000,000","$1,115,000","2021-09-30"
"","Adam Buksa","NER","2021","F","$1,000,000","$1,106,250","2021-09-30"
"","Ramón Ábila","DCU","2021","F","$800,000","$1,105,000","2021-09-30"
"","David Accam","NSH","2021","F","$975,000","$1,102,920","2021-09-30"
"","Alexander Ring","ATX","2021","M","$1,000,000","$1,095,000","2021-09-30"
"","Omar González","TOR","2021","D","$780,000","$1,055,940","2021-09-30"
"","Álvaro Medrán","CHI","2021","M","$1,000,000","$1,055,000","2021-09-30"
"","Diego Rossi","LAFC","2021","F","$1,000,000","$1,052,000","2021-09-30"
"","Paul Arriola","DCU","2021","M","$1,000,000","$1,050,000","2021-09-30"
"","João Paulo","SEA","2021","M","$1,000,000","$1,050,000","2021-09-30"
"","Brian Rodríguez","LAFC","2021","F","$700,000","$1,039,800","2021-09-30"
"","Bjørn Maars Johnsen","MTL","2021","F","$900,000","$1,036,670","2021-09-30"
"","Nicolas Isimat-Mirin","SKC","2021","D","$950,000","$1,028,120","2021-09-30"
"","Jhonder Cádiz","NSH","2021","F","$855,000","$1,023,800","2021-09-30"
"","Alejandro Bedoya","PHI","2021","M","$810,000","$1,023,330","2021-09-30"
"","Leandro González Pirez","MIA","2021","D","$849,996","$1,010,250","2021-09-30"
"","Kamohelo Mokotjo","CIN","2021","M","$925,000","$1,007,970","2021-09-30"
"","Ilie Sánchez","SKC","2021","M","$1,000,000","$1,000,000","2021-09-30"
"","Walker Zimmerman","NSH","2021","D","$925,000","$981,050","2021-09-30"
"","Bobby Wood","RSL","2021","F","$875,000","$968,161","2021-09-30"
"","Emanuel Reynoso","MIN","2021","M","$750,000","$966,910","2021-09-30"
"","Robin Lod","MIN","2021","M","$849,996","$952,496","2021-09-30"
"","Andrés Ríos","SJE","2021","F","$870,000","$939,250","2021-09-30"
"","Samuel Grandsir","LAG","2021","F","$850,000","$938,427","2021-09-30"
"","Aaron Long","NYRB","2021","D","$895,000","$925,000","2021-09-30"
"","Sebastian Lletget","LAG","2021","M","$800,000","$923,750","2021-09-30"
"","Gadi Kinda","SKC","2021","M","$850,000","$918,000","2021-09-30"
"","Kacper Przybylko","PHI","2021","F","$825,000","$916,250","2021-09-30"
"","Diego Valeri","POR","2021","M","$765,000","$914,875","2021-09-30"
"","Carlos Fierro","SJE","2021","F","$850,000","$908,800","2021-09-30"
"","Jaroslaw Niezgoda","POR","2021","F","$739,500","$908,758","2021-09-30"
"","Felipe Mora","POR","2021","F","$825,000","$905,000","2021-09-30"
"","Francisco Calvo","CHI","2021","D","$830,000","$902,600","2021-09-30"
"","Emerson Hyndman","ATL","2021","M","$900,000","$900,000","2021-09-30"
"","Miguel Nazarit","NSH","2021","D","$700,000","$894,375","2021-09-30"
"","Chris Mavinga","TOR","2021","D","$850,000","$887,500","2021-09-30"
"","Romell Quioto","MTL","2021","F","$800,000","$885,000","2021-09-30"
"","Jan Gregus","MIN","2021","M","$750,000","$883,500","2021-09-30"
"","Cristian Roldan","SEA","2021","M","$760,000","$881,542","2021-09-30"
"","Jonathan Osorio","TOR","2021","M","$850,000","$876,250","2021-09-30"
"","Antônio Carlos","ORL","2021","D","$840,000","$865,000","2021-09-30"
"","Pedro Santos","CLB","2021","M","$817,560","$864,560","2021-09-30"
"","Javier López","SJE","2021","F","$860,000","$860,000","2021-09-30"
"","Rayan Raveloson","LAG","2021","M","$780,000","$855,025","2021-09-30"
"","Rudy Camacho","MTL","2021","D","$800,000","$851,653","2021-09-30"
"","Giancarlo Gonzalez","LAG","2021","D","$850,000","$850,000","2021-09-30"
"","Matt Hedges","FCD","2021","D","$850,000","$850,000","2021-09-30"
"","Facundo Quignón","FCD","2021","M","$786,000","$840,627","2021-09-30"
"","Ignacio Aliseda","CHI","2021","M","$600,000","$821,501","2021-09-30"
"","Derrick Williams","LAG","2021","D","$750,000","$821,458","2021-09-30"
"","Daniel Royer","NYRB","2021","M","$750,000","$818,750","2021-09-30"
"","Brad Guzan","ATL","2021","GK","$805,000","$805,000","2021-09-30"
"","Héber","NYC","2021","F","$785,000","$788,750","2021-09-30"
"","Maxime Chanot","NYC","2021","D","$785,000","$785,000","2021-09-30"
"","Valentín Castellanos","NYC","2021","M","$600,000","$776,000","2021-09-30"
"","Yordy Reyna","DCU","2021","M","$711,500","$774,640","2021-09-30"
"","Aníbal Godoy","NSH","2021","M","$700,000","$771,667","2021-09-30"
"","Alexander Callens","NYC","2021","D","$700,000","$764,000","2021-09-30"
"","Julian Gressel","DCU","2021","M","$705,000","$760,781","2021-09-30"
"","Ronald Matarrita","CIN","2021","D","$700,000","$756,875","2021-09-30"
"","Julián Carranza","MIA","2021","F","$750,000","$750,000","2021-09-30"
"","Wil Trapp","MIN","2021","M","$747,500","$747,500","2021-09-30"
"","Júnior Urso","ORL","2021","M","$700,000","$730,000","2021-09-30"
"","Oswaldo Alanís","SJE","2021","D","$630,000","$730,000","2021-09-30"
"","Sergio Santos","PHI","2021","F","$660,000","$728,500","2021-09-30"
"","Dax McCarty","NSH","2021","M","$725,000","$725,000","2021-09-30"
"","Bakaye Dibassy","MIN","2021","D","$625,000","$718,125","2021-09-30"
"","Danny Hoesen","ATX","2021","F","$650,000","$716,667","2021-09-30"
"","Graham Zusi","SKC","2021","D","$650,000","$713,333","2021-09-30"
"","Steve Birnbaum","DCU","2021","D","$700,000","$712,500","2021-09-30"
"","Bryan Acosta","FCD","2021","M","$650,000","$700,000","2021-09-30"
"","Alexandru Mitrita","NYC","2021","F","$700,000","$700,000","2021-09-30"
"","Romain Métanire","MIN","2021","D","$600,000","$699,250","2021-09-30"
"","Jeremy Ebobisse","SJE","2021","F","$600,000","$691,250","2021-09-30"
"","Miles Robinson","ATL","2021","D","$650,000","$687,500","2021-09-30"
"","José Antonio Martínez","FCD","2021","D","$600,000","$673,000","2021-09-30"
